A.-Weineck-Straße;AWK
Lößnitzstraße;LON
Lößnitzweg;LOW
Louisenstraße;LOI
Ludwig-Hartmann-Straße;LHA
Ludwig-Renn-Allee;LRA
Ludwigstraße;LUD
Luga;LUG
M.-Oeder-Straße;MOE
Malerstraße;MAL
Manitiusstraße;MAN
Mansfelder Straße;MFS
Marienallee;MAA
Marienberger Straße;MAB
Marie-Wittich-Straße;MWI
Markusfriedhof;MKF
Martin-Opitz-Straße;MOP
Maxim-Gorki-Straße;MGS
Maxstraße;MAX
Mengsstraße;MEN
Merbitzer Straße;MER
Merianplatz;MAP
Messe Dresden;MES
Messe, Gleisschleife;MEG
Messering (HALLE 1);MEH
Meußlitzer Straße;MEU
Michaelisstraße;MIS
Mickten;MIC
Mockethaler Straße;MTS
Mockritz;MOC
Mockritzer Straße;MOK
Mohorner Straße;MHS
Mommsenstraße;MOM
Moosleite;MLW
Mordgrundbrücke;MOR
Moritzburger Weg;MOW
Mosenstraße;MOS
Mügelner Straße;MUG
Mühlenstraße;MLS
Münchner Platz;MUP
Münzgasse;EMZG
Münzteichweg;MTW
Nätherstraße;NAE
Neubertstraße;NEU
Neue Straße;NES
Neuer Annenfriedhof;NAF
Neuer Kathol. Friedhof;NKF
Neuländer Straße;NLS
Neunimptscher Straße;NNI
Neuostra;NEA
Neustadt Fähre;FNEU
Neustädter Markt;NMT
Nickerner Weg;NIW
Niedergohlis Dorfstraße;NGD
Niedergohlis Südstraße;NGS
Niederpoyritz Fähre;FNPO
Niedersedlitzer Platz;NSP
Niedersedlitzer Straße;NST
Niederseidewitzer Weg;NSW
Niederwaldplatz;NWP
Niederwaldstraße;NWS
Niederwartha;NWA
Nordstraße;NOR
Nürnberger Platz;NUP
Ob. Station Schwebebahn;OSS
Oberauer Straße;OBE
Obergohlis;OGS
Oberloschwitz;BOLO
Ockerwitz;OCW
Ockerwitzer Straße;OKW
Oederaner Straße;OED
Oehmestraße;OEH
Omsewitz;OMS
Oschatzer Straße;OSC
Oskar-Maune-Straße;OMA
Otto-Dix-Ring;ODX
Otto-Pilz-Straße;OPI
Overbeckstraße;OVE
P+R Ostragehege;OGP
Palaisplatz;PAP
Panometer;EPAN
Paradiesstraße;PAS
Pennrich, Gleisschleife;PEG
Pennricher Straße;PER
Permoserstraße;PMS
Peschelstraße;PSC
Pesterwitz;PES
Pfeifferhannsstraße;PFH
Pferderennbahn;PFB
Pfotenhauerstraße;PFO
Pieschener Allee;PSA
Pillnitz;PIL
Pillnitz Fähre;FPIL
Pillnitz, Schloss;PLO
Pillnitzer Platz;PLP
Pirnaischer Platz;PIP
Platanenstraße;PLT
Plattleite;PTL
Plauen, Rathaus;PLR
Plauen,Nöthnitzer Straße;NTN
Plauenscher Ring;PAR
Podemusstraße;POD
Pohlandplatz;POH
Postplatz;POS
Prager Straße;PGS
Prellerstraße;PRE
Prof.-Billroth-Straße;PBI
Prof.-Ricker-Straße;PRS
Prohlis Gleisschleife;PRO
Prohlis Kaufpark Nickern;PRL
Pulsnitzer Straße;PUL
Putjatinplatz;PTP
Querallee;QUE
Quohrener Straße;QUO
R.-Harbig-Stadion;RHX
Räcknitzhöhe;RAC
Rähnitzer Allee;RAL
Rankestraße;RAN
Rathaus Klotzsche;RKL
Rathaus Leuben;RTL
Rathaus Pieschen;RPN
Rathaus Pillnitz;RPI
Rathausstraße;RTS
Ratsstraße;RAT
Rauensteinstraße;RAU
Regensburger Straße;REG
Reichenbachstraße;REI
Reichenhaller Straße;RCS
Reineckeweg;RNW
Reisstraße;RSS
Reitbahnstraße;RIT
Rennplatzstraße;REN
Rethelstraße;RET
Riegelplatz;RIE
Rißweg;RIS
Robert-Sterl-Straße;RBS
Rochwitz,Bühlauer Str.;ROC
Rohrbahn;ROB
Rosa-Luxemburg-Platz;RLP
Roseggerstraße;RSG
Rosenstraße;ROS
Rossendorfer Straße;ROD
Rottwerndorfer Straße;ROT
Rubensweg;RUW
Rückertstraße;RKS
Rüdesheimer Straße;RUD
Rudolf-Leonhard-Straße;RLS
Rudolf-Walther-Straße;RWS
Saalhausener Straße;SHA
Saarstraße;SAR
Sachsenallee;SAA
Sagarder Weg;SGW
Saßnitzer Straße;SAS
Saxoniastraße;SAX
S-Bf. Bischofsplatz;SBI
S-Bf. Dobritz;SDZ
S-Bf. Freiberger Straße;SFB
S-Bf. Grenzstraße;SGR
S-Bf. Industriegelände;SIG
S-Bf. Niedersedlitz;SND
S-Bf. Pieschen;SPN
S-Bf. Plauen;SPL
S-Bf. Strehlen;SSR
S-Bf. Trachau;STR
S-Bf. Trachau West;STW
Schanzenstraße;SAZ
Scharfenberger Straße;SBG
Scharfensteinstraße;SST
Schaufußstraße;SCU
Schiffswerft Laubegast;SWL
Schillerplatz;SIP
Schillerstraße;SHL
Schillingstraße;SLI
Schlehenstraße;SLE
Schlüterstraße;SLT
Schneebergstraße;SNS
Schönaer Straße;SNA
Schule Gompitz;SCG
Schulstraße;SUL
Schunckstraße;SUK
Schurichtstraße;SUR
Schweizer Straße;SZS
Schweriner Straße;SCH
Schwimmh. Freib. Platz;SHF
Schwimmhalle Bühlau;SHB
Schwimmhalle Klotzsche;SHK
Seewiesenweg;SEW
Seidnitzer Weg;SEI
Semmelweisstraße;SEM
Sobrigauer Weg;SOW
Söbrigen;SOB
Söbrigener Straße;SOG
Sörnewitzer Straße;SRN
Sosaer Straße;SOS
Spenerstraße;SPS
Spitzhausstraße;SPH
Spitzwegstraße;SPI
Sportplätze;SPO
St.-Benno-Gymnasium;GYM
St.-Marien-Krankenh.;SMK
St.-Pauli-Friedhof;SPF
Staats- u. Unibibliothek;SUB
Stadtgutstraße;SGU
Staffelsteinstraße;SSS
Stauffenbergallee;STF
Steglichstraße;STE
Stephanstraße;STS
Stralsunder Straße;SSU
Straßburger Platz;SBP
Straße des 17.Juni;STJ
Strehlener Platz;STP
Striesener Straße;STN
Struppener Straße;SRU
Südhöhe;SUE
Südvorstadt;SVS
Synagoge;SYN
Tannenstraße;TAN
Tännichtstraße;TNS
Taschenbergpalais;ETPA
Tatzberg;TBG
Taubenberg;TAU
Technische Sammlungen;TSA
Technische Universität;TUD
Tharandter Straße;THA
Thäterstraße;THS
Theaterplatz;THE
Theilestraße;TEI
Thomas-Mann-Straße;TMS
Tiergartenstraße;TIE
Tiroler Straße;TIS
Tolkewitz, Schulcampus;TSC
Tornaer Straße;TON
Trachauer Straße;TAS
Trachenberger Platz;TRP
Trattendorfer Straße;TRS
Trinitatisplatz;TIP
Tronitzer Straße;TRO
Troppauer Straße;TPS
Universitätsklinikum;UKD
Urnenstraße;URN
Van-Gogh-Straße;VGO
Veilchenstraße;VEI
Vollmarstraße;VOL
Vorwerkstraße;VOW
Wachbergstraße;WCH
Wächterstraße;WAC
Wägnerstraße;WGS
Waldschlößchen;WSO
Waldschlößchenstraße;WSS
Waldteichstraße;WTS
Walpurgisstraße;WPS
Waltherstraße;WTH
Wasaplatz;WAS
Washingtonstraße;WSH
Wasserwerk Tolkewitz;WWT
Webergasse;WEB
Weberplatz;WPL
Weidentalstraße;WDS
Weißdornstraße;WSD
Weißer Hirsch;BWHI
Weißeritzstraße;WSR
Werftstraße;WEF
Wernerstraße;WER
Wettiner Platz;EWTP
Wieckestraße;WIE
Wilder Mann;WIM
Wilder-Mann-Straße;WMS
Wilhelm-Busch-Straße;WBU
Wilhelminenstraße;WIL
Wilischstraße;WIS
Wilschdf.Ind.-gebiet;WIG
Wilschdorfer Landstr.;WLS
Windmühlenstraße;WND
Windmühlenweg;WMW
Winterbergstraße;WIN
Wittenberger Straße;WIT
Wölfnitz;WOL
Wölfnitzer Ring;WOR
Wostra;WOS
Würzburger Straße;WBR
Wurzener Straße;WUZ
Zachengrundring;ZGR
Zeithainer Straße;ZEH
Zellescher Weg;ZEL
Zinnowitzer Straße;ZNW
Zoo;ZOO
Zschertnitz;ZTZ
Zschertnitzer Straße;ZZN
Zschierener Straße;ZSS
Zschonergrundstraße;ZSO
Zum Windkanal;ZUW
Zur Elbinsel;ZEI
Zur Neuen Brücke;ZNB
Zur Steinhöhe;ZSH
Zweibrüderweg;ZWE
Zwickauer Straße;ZWU
Zwinglistraße;ZWI
