id,numeric_id,name,city,name_with_city,latitude,longitude,operators,total_lines,tram_lines,bus_lines,train_lines,s_bahn_lines
de:14628:1015,33001015,Wittgensdorfer Str.,Lungkwitz,Lungkwitz Wittgensdorfer Str.,50.934966,13.772377,RVSOE,1,,,,
de:14627:4449,33004449,Am Golkwald,Löbsal,Löbsal Am Golkwald,51.225936,13.437359,VGM,2,,,,
de:14627:4448,33004448,Dorfplatz,Löbsal,Löbsal Dorfplatz,51.227112,13.434611,VGM,2,,,,
de:14627:4525,33004525,Abzweig Löthain,Löthain,Löthain Abzweig Löthain,51.138086,13.41686,VGM,4,,,,
de:14627:4529,33004529,Canitzer Straße,Löthain,Löthain Canitzer Straße,51.139901,13.40961,VGM,1,,,,
de:14627:4526,33004526,Dorfplatz,Löthain,Löthain Dorfplatz,51.142995,13.408038,VGM,2,,,,
de:14627:4515,33004515,Löbschütz im Käbschütztal,Löthain,Löthain Löbschütz im Käbschütztal,51.140752,13.388069,VGM,1,,,,
de:14627:4524,33004524,Mehrener Straße,Löthain,Löthain Mehrener Straße,51.147526,13.411578,VGM,2,,,,
de:14627:4516,33004516,Pauschütz,Löthain,Löthain Pauschütz,51.136677,13.391339,VGM,1,,,,
de:14627:4527,33004527,Siedlung,Löthain,Löthain Siedlung,51.14029,13.414605,VGM,3,,,,
de:14627:5489,33005489,Lötzschen,Lötzschen,Lötzschen Lötzschen,51.279788,13.742023,VGM,1,,,,
de:14628:1806,33001806,Abzweig Fürstenau,Löwenhain,Löwenhain Abzweig Fürstenau,50.755273,13.80583,RVSOE,2,,,,
de:14628:1807,33001807,Feuerwehr,Löwenhain,Löwenhain Feuerwehr,50.760308,13.81626,RVSOE,2,,,,
de:14628:1808,33001808,Unterdorf,Löwenhain,Löwenhain Unterdorf,50.763212,13.824973,RVSOE,1,,,,
de:14627:5570,33005570,Lößnig (Kr MEI),Lößnig (Strehla),Lößnig (Strehla) Lößnig (Kr MEI),51.390604,13.225052,VGM,1,,,,
de:14628:1270,33001270,Nixensteig,Lübau,Lübau Nixensteig,50.955183,13.621478,RVSOE,1,,,,
de:14625:6358,33006358,Moritzbad,Lückersdorf,Lückersdorf Moritzbad,51.262006,14.073052,RBO,2,,22 (Kamenz),,
de:14625:6356,33006356,Niederdorf,Lückersdorf,Lückersdorf Niederdorf,51.262776,14.069989,RBO,3,,22 (Kamenz),,
de:14625:6357,33006357,Wendeplatz,Lückersdorf,Lückersdorf Wendeplatz,51.269077,14.065147,RBO,3,,22 (Kamenz),,
de:14627:5316,33005316,Anbau,Lüttichau,Lüttichau Anbau,51.325769,13.806091,VGM,1,,,,
de:14627:5315,33005315,Dorf,Lüttichau,Lüttichau Dorf,51.335619,13.812119,VGM,1,,,,
de:14627:4559,33004559,Abzweig Mahlitzsch,Mahlitzsch (Nossen),Mahlitzsch (Nossen) Abzweig Mahlitzsch,51.080959,13.36624,VGM,2,,,,
de:14628:1601,33001601,Bad,Malter,Malter Bad,50.920624,13.655919,RVSOE,1,,,,
