Nummer;Name mit Ort;Name ohne Ort;Ort;Tarifzone 1 ;Tarifzone 2;Tarifzone 3;WGS84_X;WGS84_Y
de:14612:555;Dresden Am Urnenfeld;Am Urnenfeld;Dresden;0100;;;13,652223;51,082605
de:14612:556;Dresden Hp Stetzsch;Hp Stetzsch;Dresden;0105;;;13,650650;51,080919
de:14612:557;Dresden Fehrmannweg;Fehrmannweg;Dresden;0100;;;13,642761;51,089076
de:14612:558;Dresden Gartenstraße;Gartenstraße;Dresden;0100;;;13,637838;51,089118
de:14612:559;Dresden Kolpingstraße;Kolpingstraße;Dresden;0100;;;13,635442;51,090374
de:14612:560;Dresden Niedergohlis Dorfstr;Niedergohlis Dorfstraße;Dresden;0100;;;13,642220;51,094351
de:14612:561;Dresden Niedergohlis Südstr;Niedergohlis Südstr;Dresden;0100;;;13,641079;51,092758
de:14612:562;Dresden Obergohlis;Obergohlis;Dresden;0100;;;13,646504;51,088754
de:14612:563;Dresden Schillerstraße;Schillerstraße;Dresden;0100;;;13,634654;51,088686
de:14612:564;Dresden Windmühlenweg;Windmühlenweg;Dresden;0100;;;13,645064;51,092415
de:14612:567;Dresden Fürstenhainer Straße;Fürstenhainer Straße;Dresden;0100;;;13,683308;51,085775
de:14612:570;Dresden Kaditzer Straße;Kaditzer Straße;Dresden;0100;;;13,695347;51,072683
de:14612:571;Dresden Werftstraße;Werftstraße;Dresden;0100;;;13,689683;51,069169
de:14612:572;Dresden Overbeckstraße;Overbeckstraße;Dresden;0100;;;13,690059;51,073622
de:14612:573;Dresden Gewerbegebiet Kaditz;Gewerbegebiet Kaditz;Dresden;0100;;;13,690576;51,07802
de:14612:576;Dresden Ranke-/Peschelstraße;Ranke-/Peschelstraße;Dresden;0106;;;13,699644;51,087921
de:14612:577;Dresden Dungerstraße;Dungerstraße;Dresden;0106;;;13,695211;51,089244
de:14612:580;Dresden Altkaditz;Altkaditz;Dresden;0106;;;13,672699;51,084471
de:14612:582;Dresden Kaditz Am Vorwerksfeld;Kaditz Am Vorwerksfeld;Dresden;0106;;;13,668281;51,092975
de:14612:583;Dresden Spitzhausstraße;Spitzhausstraße;Dresden;0106;;;13,673524;51,091489
de:14612:584;Dresden Seewiesenweg;Seewiesenweg;Dresden;0100;;;13,679534;51,087969
de:14612:585;Dresden Riegelplatz;Riegelplatz;Dresden;0106;;;13,686788;51,083342
de:14612:586;Dresden Wächterstraße;Wächterstraße;Dresden;0100;;;13,700565;51,082289
de:14612:587;Dresden Bunsenstraße;Bunsenstraße;Dresden;0100;;;13,707129;51,082247
de:14612:588;Dresden ElbePark;ElbePark;Dresden;0106;;;13,695359;51,081978
de:14612:589;Dresden Wurzener Straße;Wurzener Straße;Dresden;0100;;;13,719975;51,081142
de:14612:590;Dresden Markusfriedhof;Markusfriedhof;Dresden;0100;;;13,722100;51,086846
de:14612:591;Dresden Boxdorfer Straße;Boxdorfer Straße;Dresden;0100;;;13,718692;51,087714
de:14612:593;Dresden Hp Pieschen;Hp Pieschen;Dresden;0106;;;13,726025;51,081484
de:14612:594;Dresden Pestalozziplatz;Pestalozziplatz;Dresden;0100;;;13,732418;51,078791
de:14612:595;Dresden Maxim-Gorki-Straße;Maxim-Gorki-Straße;Dresden;0100;;;13,730570;51,088923
de:14612:596;DD Sankt-Pauli-Friedhof;Sankt-Pauli-Friedhof;Dresden;0106;;;13,737531;51,087273
de:14612:597;Dresden Oberauer Straße;Oberauer Straße;Dresden;0100;;;13,743068;51,084197
de:14612:598;Dresden Bärwalder Straße;Bärwalder Straße;Dresden;0100;;;13,745406;51,081484
de:14612:599;Dresden Schanzenstraße;Schanzenstraße;Dresden;0100;;;13,749858;51,077659
de:14612:600;Dresden Rudolf-Leonhard-Straße;Rudolf-Leonhard-Straße;Dresden;0100;;;13,751946;51,077403
de:14612:601;Dresden Buchenstraße;Buchenstraße;Dresden;0100;;;13,747393;51,078541
de:14612:603;Dresden Justizvollzugsanstalt;Justizvollzugsanstalt;Dresden;0100;;;13,748109;51,08957
de:14612:604;Dresden Marienallee;Marienallee;Dresden;0100;;;13,765545;51,073252
de:14612:605;DD Landesdirektion Sachsen;Landesdirektion Sachsen;Dresden;0100;;;13,770238;51,071734
de:14612:606;Dresden Waldschlößchenstraße;Waldschlößchenstraße;Dresden;0109;;;13,775388;51,06984
de:14612:608;Dresden Arno-Holz-Allee;Arno-Holz-Allee;Dresden;0100;;;13,765748;51,071092
de:14612:609;Dresden Fabricestraße;Fabricestraße;Dresden;0100;;;13,743795;51,090246
de:14612:610;Dresden Klotzsche Infineon;Klotzsche Infineon;Dresden;0100;;;13,774045;51,107077
de:14612:611;Dresden Rathaus Klotzsche;Rathaus Klotzsche;Dresden;0100;;;13,774799;51,111093
de:14612:614;Dresden Grüner Weg;Grüner Weg;Dresden;0100;;;13,773194;51,113931
de:14612:615;Dresden Dörnichtweg;Dörnichtweg;Dresden;0100;;;13,770045;51,116361
de:14612:616;Dresden Flughafenstraße;Flughafenstraße;Dresden;0100;;;13,763467;51,120668
